fighter_red,fighter_blue,red_url,blue_url,red_id,blue_id,weight_class,red_name,red_nickname,red_height,red_weight,red_reach,red_stance,red_dob,red_slpm,red_sapm,red_str_acc,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,blue_name,blue_nickname,blue_height,blue_weight,blue_reach,blue_stance,blue_dob,blue_slpm,blue_sapm,blue_str_acc,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg
Merab Dvalishvili,Petr Yan,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,http://ufcstats.com/fighter-details/d661ce4da776fc20,c03520b5c88ed6b4,d661ce4da776fc20,Bantamweight,Merab Dvalishvili,The Machine,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.33,2.55,42%,56%,6.40,37%,82%,0.3,Petr Yan,No Mercy,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993",5.12,4.14,54%,58%,1.58,48%,85%,0.1
Alexandre Pantoja,Joshua Van,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/17e97649403ba428,a0f0004aadf10b71,17e97649403ba428,Flyweight,Alexandre Pantoja,The Cannibal,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.36,3.88,50%,49%,2.80,47%,69%,1.0,Joshua Van,The Fearless,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",8.86,6.36,56%,57%,0.85,63%,81%,0.0
Brandon Moreno,Tatsuro Taira,http://ufcstats.com/fighter-details/792be9a24df82ed6,http://ufcstats.com/fighter-details/4461d7e47375a895,792be9a24df82ed6,4461d7e47375a895,Flyweight,Brandon Moreno,The Assassin Baby,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.96,3.62,44%,60%,1.51,44%,64%,0.4,Tatsuro Taira,The Best,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",2.87,2.54,60%,47%,3.21,48%,45%,1.7
Henry Cejudo,Payton Talbott,http://ufcstats.com/fighter-details/056c493bbd76a918,http://ufcstats.com/fighter-details/6e743a33d56bdaa4,056c493bbd76a918,6e743a33d56bdaa4,Bantamweight,Henry Cejudo,Triple C,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",3.82,3.46,47%,59%,1.84,31%,76%,0.1,Payton Talbott,,"5' 10""",135 lbs.,"70""",Switch,"Sep 09, 1998",6.05,3.26,54%,46%,0.24,25%,76%,0.2
Jan Blachowicz,Bogdan Guskov,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,99df7d0a2a08a8a8,ef5dcb10d2bd4b0f,Light Heavyweight,Jan Blachowicz,,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.44,3.03,49%,52%,1.03,48%,69%,0.3,Bogdan Guskov,Czarevitch,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 12, 1992",4.17,3.30,55%,45%,0.00,0%,57%,1.1
Grant Dawson,Manuel Torres,http://ufcstats.com/fighter-details/99bd51917728c25d,http://ufcstats.com/fighter-details/2e7878927067fdca,99bd51917728c25d,2e7878927067fdca,Lightweight,Grant Dawson,KGD,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",3.20,2.11,52%,44%,3.87,40%,57%,1.1,Manuel Torres,El Loco,"5' 10""",155 lbs.,"73""",Switch,"Mar 25, 1995",7.87,4.20,60%,52%,2.00,66%,88%,1.0
Terrance McKinney,Chris Duncan,http://ufcstats.com/fighter-details/809bd1a871491508,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,809bd1a871491508,fd406a32a6fb3a29,Lightweight,Terrance McKinney,T. Wrecks,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",5.78,2.58,56%,47%,3.59,40%,77%,2.2,Chris Duncan,The Problem,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",4.64,4.53,44%,51%,3.17,42%,50%,0.5
Maycee Barber,Karine Silva,http://ufcstats.com/fighter-details/6a740daf1b279661,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,6a740daf1b279661,9d62c2d8ee151f08,Women's Flyweight,Maycee Barber,The Future,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",4.70,2.90,53%,54%,1.44,43%,53%,0.1,Karine Silva,Killer,"5' 5""",125 lbs.,"67""",Orthodox,"Dec 02, 1993",2.73,2.89,38%,51%,2.37,47%,11%,1.9
Nazim Sadykhov,Fares Ziam,http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fighter-details/1e4f273069fb9e85,ff62013d2fce6d13,1e4f273069fb9e85,Lightweight,Nazim Sadykhov,Black Wolf,"5' 10""",155 lbs.,"69""",Southpaw,"May 16, 1994",5.55,5.89,50%,50%,1.29,55%,75%,0.3,Fares Ziam,The Smile Killer,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",2.85,1.62,51%,64%,1.62,40%,70%,0.2
Marvin Vettori,Brunno Ferreira,http://ufcstats.com/fighter-details/7acbb0972e75281a,http://ufcstats.com/fighter-details/1e719d4b676dc19a,7acbb0972e75281a,1e719d4b676dc19a,Middleweight,Marvin Vettori,The Italian Dream,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",4.68,4.52,45%,56%,1.43,45%,65%,0.4,Brunno Ferreira,The Hulk,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 04, 1992",3.41,3.34,50%,51%,1.39,28%,57%,1.0
Edson Barboza,Jalin Turner,http://ufcstats.com/fighter-details/64a50dad704d1d49,http://ufcstats.com/fighter-details/4d8fa64202cee4c1,64a50dad704d1d49,4d8fa64202cee4c1,Lightweight,Edson Barboza,Junior,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",4.14,4.60,44%,55%,0.43,50%,73%,0.1,Jalin Turner,The Tarantula,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995",5.53,4.55,48%,41%,0.77,55%,75%,1.1
Iwo Baraniewski,Ibo Aslan,http://ufcstats.com/fighter-details/1c23ec2f1b71be40,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,1c23ec2f1b71be40,6e8f1bcdda94ff45,Light Heavyweight,Iwo Baraniewski,Rudy,"6' 0""",205 lbs.,"73""",Orthodox,"Nov 20, 1998",12.00,6.00,66%,33%,0.00,0%,0%,0.0,Ibo Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",5.09,3.47,47%,59%,0.00,0%,86%,0.0
Mansur Abdul-Malik,Antonio Trocoli,http://ufcstats.com/fighter-details/841695e02c99a521,http://ufcstats.com/fighter-details/6d48a2df51749d91,841695e02c99a521,6d48a2df51749d91,Middleweight,Mansur Abdul-Malik,,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",4.27,3.49,48%,51%,0.49,33%,82%,0.0,Antonio Trocoli,Malvado,"6' 6""",185 lbs.,"79""",Orthodox,"Dec 06, 1990",1.29,5.79,50%,23%,0.84,11%,50%,0.8
Muhammad Naimov,Mairon Santos,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,http://ufcstats.com/fighter-details/480779d7f9a424d3,8d11d9c13e2ccdf7,480779d7f9a424d3,Featherweight,Muhammad Naimov,Hillman,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 07, 1994",2.61,3.45,40%,45%,1.69,36%,67%,0.2,Mairon Santos,The Legend,"5' 7""",145 lbs.,"72""",Orthodox,"Jun 10, 2000",3.53,2.38,46%,66%,0.00,0%,50%,0.0
